song_id,valence,arousal,file_path
Look What You Made Me Do,-0.19253477454185486,-0.4842188358306885,processed\Look What You Made Me Do.wav
Numb,-0.17571361362934113,-0.1761457771062851,processed\Numb.wav
River Flows in You,-0.15379707515239716,-0.4317106604576111,processed\River Flows in You.wav
Somebody That I Used to Know,-0.17515431344509125,-0.5035586357116699,processed\Somebody That I Used to Know.wav
someone like you,-0.16635306179523468,-0.4773481786251068,processed\someone like you.wav
sugar,-0.1806740015745163,-0.5223779678344727,processed\sugar.wav
周杰伦 - 手写的从前,-0.16531944274902344,-0.5161281228065491,processed\周杰伦 - 手写的从前.wav
周杰伦 - 晴天,-0.17504434287548065,-0.3575671911239624,processed\周杰伦 - 晴天.wav
小幸运,-0.1667776107788086,-0.5193741321563721,processed\小幸运.wav
恋人心,-0.16815496981143951,-0.5190029740333557,processed\恋人心.wav
有些,-0.17837774753570557,-0.48063233494758606,processed\有些.wav
红日,-0.17884017527103424,-0.4915735125541687,processed\红日.wav
认真的雪,-0.16971339285373688,-0.4864569902420044,processed\认真的雪.wav
银色飞行船,-0.1557275950908661,-0.4832325875759125,processed\银色飞行船.wav
难得有几个真兄弟,-0.1931036412715912,-0.4637237787246704,processed\难得有几个真兄弟.wav
